Año,Mes,id_Rubro,Rubro,indice,variación mensual
2019,9,11,Ladrillos comunes,134.701343981568,4
2019,9,12,Mosaicos graníticos y calcáreos,150.268930751578,5.24911207092658
2019,9,13,Pinturas para construcción,136.483061633215,9.47876506428085
2019,9,14,Pisos y revestimientos cerámicos,147.0396305664,7.99999999999999
2019,9,17,Yeso,135.93157816455,0
2019,9,15,Sanitarios de cerámica,150.287899966915,15
2019,9,16,Tubos estructurales,146.680673428532,7.00000000000003
2019,9,3,Caños de PVC,141.286359680529,-1.2554149752445
2019,9,5,Chapas galvanizadas,130.232981070164,0.498756211208895
2019,9,7,Hierro fundido,129.5605212167,9.49178870755774
2019,9,6,Conductores de cobre,152.156692218009,4.33227062807393
2019,10,1,Asfalto,150.308465746958,7.22804536481463
2019,10,2,Cales,129.8869624645,2.99514551666986
2019,10,4,Cemento portland,148.998328147469,5
2019,10,8,Hierro redondo y acero para construcción,174.918928264841,1.49999999999999
2019,10,9,Hormigón elaborado,144.853558447104,0
2019,10,10,Ladrillos cerámicos,131.577914798762,0
2019,10,11,Ladrillos comunes,134.701343981568,0
2019,10,12,Mosaicos graníticos y calcáreos,148.446928612821,-1.21249424591221
2019,10,13,Pinturas para construcción,136.483061633215,0
2019,10,14,Pisos y revestimientos cerámicos,169.09557515136,15
2019,10,17,Yeso,140.009525509486,3.00000000000002
2019,10,15,Sanitarios de cerámica,151.283213078795,0.662270956011302
2019,10,16,Tubos estructurales,151.081093631388,3
2019,10,3,Caños de PVC,145.50876575762,2.98854474461547
2019,10,5,Chapas galvanizadas,136.091907398627,4.49880382090504
2019,10,7,Hierro fundido,131.449407347845,1.45791797795052
2019,10,6,Conductores de cobre,152.156692218009,0
2019,11,1,Asfalto,151.242901418032,0.62167867021361
2019,11,2,Cales,132.354751018748,1.89995093227475
2019,11,4,Cemento portland,156.448244554842,5.00000000000003
2019,11,8,Hierro redondo y acero para construcción,180.166496112787,3.00000000000002
2019,11,9,Hormigón elaborado,153.54477195393,6.00000000000001
2019,11,10,Ladrillos cerámicos,137.644714657298,4.6108040759077
2019,11,11,Ladrillos comunes,134.701343981568,0
2019,11,12,Mosaicos graníticos y calcáreos,153.611898180798,3.4793374414964
2019,11,13,Pinturas para construcción,141.218754124011,3.46980235798269
2019,11,14,Pisos y revestimientos cerámicos,186.005132666496,10
2019,11,17,Yeso,148.410097040056,6.00000000000001
2019,11,15,Sanitarios de cerámica,171.452827882606,13.3323548550662
2019,11,16,Tubos estructurales,157.124337376643,4
2019,11,3,Caños de PVC,150.233252451284,3.2468742821542
2019,11,5,Chapas galvanizadas,138.473097804783,1.74969287422933
2019,11,7,Hierro fundido,133.468673789899,1.5361548467929
2019,11,6,Conductores de cobre,168.385208628755,10.6656606253603
2019,12,1,Asfalto,154.450908265842,2.12109581192363
2019,12,2,Cales,134.338442289522,1.49876846543511
2019,12,4,Cemento portland,161.141691891488,3
2019,12,8,Hierro redondo y acero para construcción,183.409493042817,1.8
2019,12,9,Hormigón elaborado,153.54477195393,0
2019,12,10,Ladrillos cerámicos,137.644714657298,0
2019,12,11,Ladrillos comunes,134.701343981568,0
2019,12,12,Mosaicos graníticos y calcáreos,155.865975544379,1.46738461686593
2019,12,13,Pinturas para construcción,141.218754124011,0
2019,12,14,Pisos y revestimientos cerámicos,195.305389299821,5
2019,12,17,Yeso,155.830601892058,5.00000000000003
2019,12,15,Sanitarios de cerámica,182.838821650684,6.64089003878903
2019,12,16,Tubos estructurales,157.124337376643,0
2019,12,3,Caños de PVC,149.472520724238,-0.506367075619896
2019,12,5,Chapas galvanizadas,141.235771700812,1.99509792141976
2019,12,7,Hierro fundido,133.466555609362,-0.001587024488059
2019,12,6,Conductores de cobre,168.385208628755,0
2020,1,1,Asfalto,154.450908265842,0
2020,1,2,Cales,134.338442289522,0
2020,1,4,Cemento portland,167.587359567147,4
2020,1,8,Hierro redondo y acero para construcción,183.409493042817,0
2020,1,9,Hormigón elaborado,153.54477195393,0
2020,1,10,Ladrillos cerámicos,137.644714657298,0
2020,1,11,Ladrillos comunes,134.701343981568,0
2020,1,12,Mosaicos graníticos y calcáreos,155.865975544379,0
2020,1,13,Pinturas para construcción,143.689648601995,1.74969287422937
2020,1,14,Pisos y revestimientos cerámicos,201.164550978815,3.00000000000002
2020,1,17,Yeso,155.830601892058,0
2020,1,15,Sanitarios de cerámica,191.976423149865,4.99762655254838
2020,1,16,Tubos estructurales,159.481202437293,1.49999999999999
2020,1,3,Caños de PVC,149.472520724238,0
2020,1,5,Chapas galvanizadas,141.235771700812,0
2020,1,7,Hierro fundido,133.448644668013,-0.013419797392289
2020,1,6,Conductores de cobre,168.385208628755,0
2020,2,1,Asfalto,155.604034415925,0.746597195853282
2020,2,2,Cales,137.025211135312,2
2020,2,4,Cemento portland,167.587359567147,0
2020,2,8,Hierro redondo y acero para construcción,183.409493042817,0
2020,2,9,Hormigón elaborado,153.54477195393,0
2020,2,10,Ladrillos cerámicos,137.640126347195,-0.003333444450626
2020,2,11,Ladrillos comunes,134.701343981568,0
2020,2,12,Mosaicos graníticos y calcáreos,159.449442844248,2.29906962526807
2020,2,13,Pinturas para construcción,145.970579224227,1.58740079360236
2020,2,14,Pisos y revestimientos cerámicos,211.222778527756,5
2020,2,17,Yeso,162.063825967741,4
2020,2,15,Sanitarios de cerámica,194.190514488999,1.15331419494411
2020,2,16,Tubos estructurales,161.076014461666,0.999999999999979
2020,2,3,Caños de PVC,150.914995429517,0.965043406166011
2020,2,5,Chapas galvanizadas,144.549827254951,2.34647038369227
2020,2,7,Hierro fundido,133.881376392372,0.324268354643342
2020,2,6,Conductores de cobre,168.385208628755,0
2020,3,1,Asfalto,159.104640529771,2.24968852959768
